user_id,language,platform,gender,Font_Size,Font_Color,Alignment,Color_Scheme,,outputFontSize,outputColor,outputAlignment,outputScheme
080c468b-27c0-455c-aa63-b8f807f2e3d7,en,Desktop,male,12,#FFFFFF,center,colorful,,,,,
0b0379c7-04db-4c85-84bd-a2bd55329e29,en,Mobile,female,20,#999999,left,light,,,,,
0e623280-b28b-4d4a-8eea-0732f09ed497,en,Mobile,female,16,#333333,right,monochrome,,,,,
045dc0f3-a730-4d03-a615-f51814e5b04f,en,Mobile,male,16,#999999,right,light,,,,,
092f2ee7-5281-4a09-9bce-e5523b95b53b,en,,female,14,#FFFFFF,right,light,,,,,
19c0851c-cbb1-45b5-9e78-884b761802ac,en,Mobile,female,20,#FFFFFF,right,light,,,,,
1a386158-d08c-40b1-9365-e758927d3352,en,Desktop,male,18,#999999,left,colorful,,,,,
78e234a7-c15a-49e5-b38c-7fb47b294ca8,en,Mobile,female,12,#333333,center,colorful,,,,,
1331586c-ee72-4fc1-b622-812f54a49f6c,en,Mobile,female,12,#333333,justify,light,,,,,
35913db6-2e1e-4028-a631-473241be215c,en,Mobile,male,14,#000000,justify,light,,,,,
31d15d10-ae4f-4527-9aba-c0f93d329cb2,en,Mobile,female,20,#FFFFFF,left,monochrome,,,,,
1e41998a-cda9-4b44-aa34-8bcde6752d0a,en,Mobile,male,14,#666666,left,light,,,,,
7c390c81-d248-4099-9abc-7b787be98b47,en,Mobile,female,20,#333333,center,light,,,,,
5f294260-b679-434f-8818-e09ecd02ae70,en,Mobile,female,20,#666666,left,light,,,,,
76dad81c-1a4a-4153-9932-f03188b1ae25,en,Desktop,female,12,#FFFFFF,justify,light,,,,,
3cd5d4f2-97f1-418c-bc49-ff0c2a58c855,en,Mobile,male,16,#333333,left,monochrome,,,,,
10e9b324-156e-4eb5-aec5-04d8a4d7124c,en,,male,18,#FFFFFF,right,colorful,,,,,
20ba7dbd-f51c-49ff-9bf2-a777cd6d13f8,es,Mobile,female,16,#999999,center,colorful,,,,,
6167cd49-a021-4f3f-b29b-a7ed48b9d94f,en,Desktop,female,12,#FFFFFF,right,light,,,,,
824afe21-5c5b-4e61-a556-75bef43196e9,en,Mobile,male,18,#000000,justify,dark,,,,,
8330a755-ac13-444b-90ca-7ddc4f4f3992,en,Mobile,male,20,#000000,justify,light,,,,,
6ee3efea-f12c-4740-937a-62f34a53e2ec,en,Mobile,female,16,#333333,justify,colorful,,,,,
3931df86-6c91-45c8-ae55-dd3a1036647f,en,Mobile,male,16,#666666,center,colorful,,,,,
60b7d252-ffba-432f-a243-8b0d5f81331d,en,Mobile,female,12,#666666,left,light,,,,,
75b63c62-9473-4ddc-979f-66b8de0a3683,en,Mobile,male,20,#666666,right,dark,,,,,
518a2693-4f58-463e-ac2c-c5ce06d3c9fb,en,Mobile,male,18,#FFFFFF,right,dark,,,,,
8ebeb6f9-b48c-4067-a307-1da81fde67da,en,Mobile,female,18,#333333,justify,light,,,,,
7e80110b-c26c-43b1-8bc2-2515642420ad,en,Mobile,female,18,#FFFFFF,right,dark,,,,,
702da1cd-9691-4f0b-9ab9-020f9454d86b,en,Mobile,female,16,#999999,right,dark,,,,,
25602500-ca31-4404-b155-3e070652c2c0,en,,other,12,#FFFFFF,right,colorful,,,,,
11cbc3a6-1c92-4f10-abe6-27def200d91d,en,,male,12,#333333,right,light,,,,,
